JOB_ROLE,INDUSTRY,COUNTRY,YEAR,AUTOMATION_RISK_PERCENT,AI_REPLACEMENT_SCORE,SKILL_GAP_INDEX,SALARY_BEFORE_USD,SALARY_AFTER_USD,SALARY_CHANGE_PERCENT,SKILL_DEMAND_GROWTH_PERCENT,REMOTE_FEASIBILITY_SCORE,AI_ADOPTION_LEVEL,EDUCATION_REQUIREMENT_LEVEL
Truck Driver,Retail,USA,2025.0,63.33,75.78,22.1,75090.77,77266.48,2.9,-4.9,75.49,48.21,4.0
HR Manager,Retail,India,2026.0,39.37,44.36,28.27,65890.65,70736.7,7.35,5.3,80.76,79.59,1.0
Accountant,Retail,Brazil,2020.0,27.96,24.82,7.06,71742.88,86652.17,20.78,-0.36,68.36,94.99,2.0
Marketing Specialist,Retail,Brazil,2021.0,11.95,13.83,72.25,42802.37,41855.88,-2.21,6.81,37.14,78.0,2.0
Marketing Specialist,Retail,Australia,2025.0,63.36,52.23,99.74,92722.37,73245.9,-21.01,11.53,72.12,47.15,4.0
Teacher,Retail,UK,2022.0,54.31,56.49,73.96,36813.69,33419.99,-9.22,14.38,61.47,24.23,1.0
Teacher,Retail,UK,2020.0,68.72,68.18,64.29,125289.85,129028.84,2.98,10.08,23.39,85.45,4.0
Accountant,Retail,Canada,2020.0,63.05,60.33,33.06,129225.46,123625.4,-4.33,10.67,38.32,82.51,5.0
Truck Driver,Retail,Germany,2020.0,55.05,47.94,96.42,42910.61,49679.02,15.77,-0.05,70.44,21.33,2.0
Customer Support Rep,Retail,Brazil,2020.0,50.81,58.9,74.97,57348.06,61012.16,6.39,7.17,54.68,73.36,4.0
HR Manager,Retail,Japan,2023.0,42.01,45.39,52.42,75857.52,77123.27,1.67,-2.32,88.08,68.58,3.0
Software Engineer,Retail,Japan,2025.0,26.7,22.73,81.63,143009.8,164128.83,14.77,-2.22,46.97,50.23,1.0
Financial Analyst,Retail,Germany,2023.0,56.11,49.96,1.89,80210.37,71304.18,-11.1,-6.6,50.07,66.89,3.0
Accountant,Retail,Australia,2021.0,61.43,50.29,83.79,138649.78,132612.84,-4.35,2.93,53.26,29.85,1.0
Software Engineer,Retail,UK,2022.0,17.25,16.78,33.14,100247.07,89508.42,-10.71,-11.23,87.66,88.45,3.0
Financial Analyst,Retail,Australia,2025.0,66.67,73.62,82.03,52851.54,47920.34,-9.33,-5.43,55.73,13.39,3.0
Data Analyst,Retail,USA,2025.0,27.77,23.04,74.85,37620.66,36359.3,-3.35,-7.69,51.64,40.65,2.0
Financial Analyst,Retail,Germany,2026.0,42.44,46.06,36.93,95730.06,86077.73,-10.08,-8.54,65.24,49.05,4.0
Accountant,Retail,USA,2020.0,53.74,43.61,43.7,101861.99,102469.72,0.6,-13.14,15.08,24.08,4.0
Data Analyst,Retail,Germany,2021.0,5.0,4.03,32.47,38873.68,38466.84,-1.05,-1.82,12.32,13.4,1.0
Marketing Specialist,Retail,Canada,2024.0,44.19,37.86,88.45,70639.43,63049.24,-10.74,15.2,55.01,81.63,3.0
Marketing Specialist,Retail,Australia,2021.0,43.97,49.18,56.03,52561.59,56904.7,8.26,4.75,65.55,72.15,3.0
Software Engineer,Retail,USA,2021.0,23.06,22.17,90.78,93191.81,81440.56,-12.61,7.58,54.88,91.82,2.0
Data Analyst,Retail,UK,2022.0,7.78,6.35,33.41,105118.86,107471.91,2.24,19.26,62.27,79.99,4.0
Truck Driver,Retail,Canada,2020.0,60.64,51.14,53.77,128335.63,108991.43,-15.07,-7.52,40.49,92.31,5.0
Software Engineer,Retail,Germany,2021.0,30.61,32.94,3.64,56816.44,62828.22,10.58,8.55,44.3,25.88,4.0
Mechanical Engineer,Retail,UK,2026.0,31.12,27.55,18.73,73064.73,82491.25,12.9,18.28,16.62,28.74,4.0
Marketing Specialist,Retail,UK,2022.0,13.32,11.94,83.21,133438.87,114423.4,-14.25,-9.47,78.12,29.51,3.0
Software Engineer,Retail,India,2021.0,7.29,6.23,81.35,141502.82,140315.45,-0.84,4.7,84.52,49.15,2.0
Mechanical Engineer,Retail,Japan,2020.0,79.93,88.69,48.43,31220.86,28504.09,-8.7,20.53,66.97,60.67,2.0
Financial Analyst,Retail,Japan,2026.0,26.45,28.24,84.16,58041.63,63121.91,8.75,3.07,91.27,12.77,1.0
Teacher,Retail,Japan,2025.0,37.28,37.53,1.09,124746.07,134258.09,7.63,-0.79,33.91,1.08,3.0
Data Analyst,Retail,Canada,2022.0,26.23,24.5,99.32,148265.88,155481.03,4.87,-6.62,58.2,15.44,3.0
Truck Driver,Retail,Japan,2024.0,77.48,75.26,67.68,92054.08,97635.51,6.06,-9.32,76.32,97.39,3.0
Accountant,Retail,India,2022.0,36.61,30.23,98.8,104856.8,95694.59,-8.74,1.23,85.2,88.03,1.0
Marketing Specialist,Retail,Canada,2023.0,26.42,29.68,83.4,43386.61,41941.82,-3.33,-12.23,36.74,15.0,2.0
Marketing Specialist,Retail,Japan,2020.0,51.06,44.86,45.76,134745.52,112903.81,-16.21,15.22,47.61,40.57,1.0
Teacher,Retail,Australia,2021.0,26.9,29.71,57.39,33816.88,38464.38,13.74,6.93,34.85,89.74,3.0
Mechanical Engineer,Retail,Japan,2021.0,26.54,22.04,15.99,130440.34,147919.35,13.4,1.27,57.81,48.06,2.0
Teacher,Retail,UK,2021.0,74.27,82.75,21.96,129107.55,132919.19,2.95,-4.13,89.45,10.11,4.0
Mechanical Engineer,Retail,Japan,2021.0,49.12,45.2,99.74,78708.1,83077.75,5.55,-7.4,31.98,49.41,4.0
Financial Analyst,Retail,USA,2020.0,48.28,54.05,75.1,122574.46,95384.56,-22.18,4.88,94.01,5.43,5.0
Software Engineer,Retail,Japan,2026.0,32.81,34.83,53.95,102999.4,88651.25,-13.93,7.14,46.92,53.2,1.0
Marketing Specialist,Retail,Germany,2021.0,44.78,35.86,61.35,72714.89,71655.46,-1.46,-5.06,76.2,96.17,1.0
HR Manager,Retail,India,2026.0,76.45,76.74,18.59,88558.84,93655.55,5.76,9.99,87.76,56.96,2.0
Accountant,Retail,Australia,2025.0,19.46,17.9,5.62,86996.04,71614.44,-17.68,-5.55,58.38,74.9,3.0
Truck Driver,Retail,UK,2025.0,59.65,57.96,1.16,98164.74,101466.4,3.36,0.23,33.2,67.42,5.0
Data Analyst,Retail,Germany,2023.0,45.74,50.14,28.32,98501.81,97625.14,-0.89,-0.58,18.74,74.46,1.0
Financial Analyst,Retail,Brazil,2023.0,12.9,12.07,15.07,106022.15,96652.73,-8.84,9.38,12.22,79.28,5.0
Truck Driver,Retail,Brazil,2026.0,42.26,37.43,54.71,111462.53,116626.77,4.63,8.66,64.4,42.88,4.0
Software Engineer,Retail,Australia,2020.0,59.17,64.59,57.96,68370.85,65935.4,-3.56,-8.23,35.81,33.93,4.0
Customer Support Rep,Retail,Singapore,2022.0,93.62,95.66,93.82,127604.34,112245.14,-12.04,18.27,37.39,64.34,1.0
Data Analyst,Retail,Brazil,2026.0,15.79,16.41,12.5,147414.38,166551.17,12.98,3.17,79.18,71.37,5.0
Financial Analyst,Retail,India,2026.0,14.55,14.51,99.28,76488.33,69634.32,-8.96,7.14,22.71,87.47,2.0
Accountant,Retail,Canada,2023.0,54.19,58.59,34.67,69644.46,72152.98,3.6,-11.98,42.41,54.03,2.0
HR Manager,Retail,Brazil,2025.0,29.65,34.05,89.63,108074.32,114073.36,5.55,18.41,57.27,96.67,5.0
Marketing Specialist,Retail,India,2022.0,64.59,75.47,26.09,129635.48,118589.85,-8.52,-7.62,27.89,50.71,1.0
Financial Analyst,Retail,USA,2024.0,62.76,73.04,51.05,116259.51,119017.6,2.37,11.89,70.69,72.14,1.0
Accountant,Retail,Singapore,2021.0,22.91,21.83,37.71,58552.4,60699.0,3.67,12.71,35.19,24.21,3.0
HR Manager,Retail,Brazil,2026.0,61.41,73.68,40.59,148262.22,141820.96,-4.34,-2.65,25.37,47.52,5.0
Data Analyst,Retail,Brazil,2025.0,55.79,52.23,90.62,95379.65,109397.06,14.7,3.23,19.13,77.38,3.0
Software Engineer,Retail,Germany,2023.0,5.0,5.13,62.94,36055.48,38828.89,7.69,0.41,19.12,21.65,5.0
HR Manager,Retail,UK,2023.0,63.62,58.77,82.29,51936.25,51083.69,-1.64,8.76,92.59,27.26,1.0
Financial Analyst,Retail,India,2022.0,64.02,66.98,36.28,53016.57,57506.39,8.47,7.88,68.16,81.29,5.0
HR Manager,Retail,Germany,2025.0,44.17,37.08,67.75,97543.2,100498.67,3.03,15.08,61.66,44.08,4.0
Mechanical Engineer,Retail,Singapore,2021.0,53.66,59.31,1.04,69145.03,62667.74,-9.37,21.98,16.81,59.87,1.0
Accountant,Retail,Brazil,2025.0,69.51,78.67,47.25,97250.7,106782.16,9.8,16.83,11.49,12.24,5.0
HR Manager,Retail,Australia,2024.0,63.66,75.58,92.93,87755.23,94565.06,7.76,16.68,83.03,78.77,2.0
Financial Analyst,Retail,Canada,2022.0,78.96,79.52,42.57,74189.23,73508.24,-0.92,10.14,38.23,97.41,2.0
Mechanical Engineer,Retail,UK,2026.0,21.96,23.48,36.84,68773.14,83737.86,21.76,-14.78,22.77,70.78,5.0
HR Manager,Retail,UK,2024.0,76.45,81.15,95.79,42764.01,40876.75,-4.41,14.29,82.94,85.56,4.0
Marketing Specialist,Retail,UK,2024.0,50.28,47.11,67.63,118975.14,99875.76,-16.05,11.07,55.77,25.19,5.0
Software Engineer,Retail,Germany,2021.0,55.21,53.84,51.05,141898.25,135554.63,-4.47,3.81,78.65,57.32,2.0
HR Manager,Retail,India,2025.0,76.69,84.82,98.57,73736.39,82511.05,11.9,20.91,71.88,3.83,4.0
Marketing Specialist,Retail,India,2024.0,43.13,34.82,5.16,31917.1,35221.4,10.35,25.52,30.98,64.66,3.0
Data Analyst,Retail,USA,2025.0,40.21,45.73,26.15,79924.44,80610.25,0.86,-8.49,54.64,21.28,3.0
Customer Support Rep,Retail,Australia,2022.0,48.99,54.01,22.88,104975.52,115799.87,10.31,13.76,28.65,84.87,1.0
Mechanical Engineer,Retail,Germany,2023.0,25.59,25.28,92.26,65684.8,67287.54,2.44,-0.12,27.15,31.66,5.0
Teacher,Retail,India,2026.0,38.42,33.76,61.47,149243.06,161293.39,8.07,-15.77,39.51,87.69,5.0
Marketing Specialist,Retail,Brazil,2022.0,70.46,79.35,8.64,58683.59,69030.53,17.63,9.78,37.29,9.33,1.0
Customer Support Rep,Retail,Canada,2020.0,25.5,24.62,22.81,111999.59,116899.55,4.37,1.09,34.04,39.3,4.0
Data Analyst,Retail,USA,2023.0,59.07,66.86,97.42,84853.12,86619.99,2.08,1.84,44.27,19.03,5.0
Financial Analyst,Retail,India,2021.0,43.83,51.29,17.14,131843.86,117873.72,-10.6,2.61,86.35,96.96,2.0
HR Manager,Retail,Canada,2024.0,46.13,49.57,16.81,62834.64,71032.06,13.05,17.77,54.4,79.56,1.0
Data Analyst,Retail,Singapore,2024.0,5.0,4.02,22.44,125918.51,123182.94,-2.17,13.12,60.69,70.61,2.0
Software Engineer,Retail,Germany,2023.0,5.0,5.5,5.26,60327.27,62865.84,4.21,4.23,66.42,41.58,5.0
Marketing Specialist,Retail,Brazil,2026.0,66.2,60.78,26.58,108785.72,97881.17,-10.02,1.98,16.03,78.78,1.0
HR Manager,Retail,UK,2022.0,70.51,57.13,19.6,85222.21,76806.94,-9.87,9.98,15.1,51.9,5.0
Accountant,Retail,Brazil,2021.0,30.67,33.38,62.4,125951.35,112841.05,-10.41,9.49,70.33,39.15,3.0
Mechanical Engineer,Retail,Canada,2021.0,42.42,49.57,36.0,103435.1,95684.28,-7.49,2.48,50.82,59.71,5.0
Mechanical Engineer,Retail,UK,2025.0,72.22,63.52,22.14,131542.97,129355.18,-1.66,7.42,15.34,9.03,2.0
Accountant,Retail,Singapore,2026.0,28.3,31.26,51.0,84670.66,92525.69,9.28,7.0,18.14,69.47,2.0
Financial Analyst,Retail,Singapore,2026.0,22.51,20.99,95.13,111998.26,114247.63,2.01,4.88,76.02,51.79,5.0
HR Manager,Retail,Germany,2020.0,29.67,23.86,91.69,112331.52,119934.81,6.77,22.74,72.04,98.19,2.0
HR Manager,Retail,UK,2021.0,57.57,49.58,22.61,64281.02,61867.45,-3.75,-1.65,75.57,24.14,4.0
Marketing Specialist,Retail,UK,2024.0,64.43,74.51,52.91,72401.21,73622.38,1.69,0.93,35.06,5.5,2.0
Mechanical Engineer,Retail,Japan,2021.0,60.76,68.7,20.38,56186.07,60655.13,7.95,13.12,15.42,32.25,4.0
Financial Analyst,Retail,Canada,2023.0,46.02,42.34,64.38,139011.47,144268.27,3.78,6.36,62.45,46.17,1.0
Teacher,Retail,Germany,2020.0,33.48,37.45,18.25,71596.84,72270.11,0.94,-2.16,65.01,86.55,5.0
Mechanical Engineer,Retail,Canada,2024.0,67.34,61.56,13.7,48729.98,48768.68,0.08,5.21,13.83,13.68,4.0
HR Manager,Retail,Germany,2023.0,67.4,72.35,45.22,59691.04,58847.35,-1.41,-6.83,89.67,18.84,1.0
Truck Driver,Retail,USA,2021.0,80.54,94.0,36.16,35155.61,40127.39,14.14,-6.34,29.21,81.0,5.0
Customer Support Rep,Retail,Japan,2026.0,90.56,89.22,20.43,48167.22,51067.14,6.02,1.68,58.06,63.24,1.0
Accountant,Retail,Japan,2023.0,74.57,74.95,83.83,68859.99,75024.58,8.95,17.54,27.25,38.88,1.0
Marketing Specialist,Retail,Japan,2020.0,57.64,55.88,67.73,92601.6,94334.62,1.87,2.54,60.79,79.58,2.0
Data Analyst,Retail,USA,2022.0,22.43,24.3,99.11,76795.06,71664.82,-6.68,12.66,35.37,93.49,2.0
Financial Analyst,Retail,India,2024.0,55.32,54.12,45.42,57014.06,56920.92,-0.16,8.2,57.95,21.86,4.0
Software Engineer,Retail,India,2026.0,30.07,32.5,69.14,115131.23,127504.86,10.75,-7.67,43.07,94.45,5.0
HR Manager,Retail,Brazil,2021.0,54.7,51.1,77.09,41130.46,45816.41,11.39,4.94,17.78,51.77,2.0
Marketing Specialist,Retail,UK,2024.0,52.47,52.56,21.72,61987.93,71495.39,15.34,15.58,24.94,61.54,4.0
Accountant,Retail,USA,2024.0,40.41,46.84,20.51,44148.52,40092.48,-9.19,19.47,38.59,67.13,4.0
Financial Analyst,Retail,UK,2020.0,72.23,59.04,41.72,101222.41,98140.28,-3.04,5.55,28.95,6.18,4.0
Customer Support Rep,Retail,Canada,2020.0,37.76,43.48,70.59,135045.6,131129.59,-2.9,-5.35,35.48,0.97,5.0
Marketing Specialist,Retail,Australia,2022.0,58.54,52.17,7.6,97595.94,98762.55,1.2,-1.07,77.81,32.93,5.0
Software Engineer,Retail,UK,2022.0,6.47,5.9,13.22,141971.41,153913.07,8.41,3.5,36.5,12.64,5.0
Marketing Specialist,Retail,UK,2020.0,30.76,31.95,84.52,76246.88,74964.28,-1.68,7.73,72.42,73.57,3.0
Software Engineer,Retail,Australia,2023.0,38.47,34.46,37.82,65089.38,65169.71,0.12,-19.49,25.6,39.35,3.0
Accountant,Retail,UK,2026.0,22.25,18.7,31.33,85824.8,94543.11,10.16,15.08,50.01,34.34,4.0
Mechanical Engineer,Retail,USA,2020.0,29.77,27.26,86.41,103783.54,105271.98,1.43,-10.78,71.73,21.85,4.0
HR Manager,Retail,Australia,2022.0,55.84,45.62,30.37,110876.62,106283.63,-4.14,-0.23,89.12,67.43,4.0
Financial Analyst,Retail,Brazil,2020.0,17.46,18.74,13.65,65253.1,78448.41,20.22,5.04,93.36,59.32,4.0
Mechanical Engineer,Retail,Canada,2023.0,66.78,78.9,32.73,87003.35,92231.24,6.01,8.13,54.43,10.89,1.0
Financial Analyst,Retail,Brazil,2025.0,66.56,68.66,64.66,34852.94,30101.42,-13.63,-2.66,23.5,38.97,4.0
Financial Analyst,Retail,Australia,2025.0,47.69,43.71,14.71,149355.35,153269.71,2.62,12.77,90.24,93.55,2.0
Marketing Specialist,Retail,Japan,2020.0,44.29,52.92,28.35,93363.64,86198.88,-7.67,8.73,41.88,80.17,5.0
Mechanical Engineer,Retail,UK,2020.0,36.93,34.48,86.55,87323.22,82166.57,-5.91,1.0,51.73,71.83,5.0
Mechanical Engineer,Retail,Australia,2023.0,21.83,18.6,61.46,57637.53,53874.51,-6.53,4.7,71.26,54.13,1.0
Teacher,Retail,USA,2023.0,25.95,29.62,74.97,92072.91,117526.0,27.64,9.63,84.54,74.23,2.0
Financial Analyst,Retail,Brazil,2025.0,49.26,57.53,91.43,31299.4,31907.1,1.94,-4.18,86.36,95.44,3.0
Marketing Specialist,Retail,Canada,2023.0,33.45,30.32,78.88,74841.66,70568.65,-5.71,-7.72,64.71,98.59,1.0
Customer Support Rep,Retail,Brazil,2020.0,32.86,37.55,21.0,107178.21,138115.71,28.87,15.51,27.59,63.52,2.0
Financial Analyst,Retail,India,2020.0,33.57,33.45,70.51,123733.83,137964.28,11.5,19.87,69.92,27.15,5.0
Accountant,Retail,India,2023.0,61.41,72.79,25.37,39927.01,39120.14,-2.02,8.48,74.94,6.07,5.0
Customer Support Rep,Retail,Brazil,2021.0,63.06,73.75,63.2,107108.96,103507.34,-3.36,7.49,57.06,95.94,2.0
HR Manager,Retail,Japan,2022.0,39.29,37.45,24.55,69710.68,58181.82,-16.54,4.89,80.46,70.9,2.0
Software Engineer,Retail,UK,2021.0,11.93,13.14,41.56,139647.12,151869.64,8.75,24.61,16.34,73.04,2.0
Financial Analyst,Retail,India,2024.0,44.89,37.19,38.43,72681.12,73666.12,1.36,3.72,44.73,98.19,4.0
HR Manager,Retail,Canada,2022.0,26.73,27.32,82.9,134735.3,126974.39,-5.76,1.91,30.95,94.55,1.0
Data Analyst,Retail,UK,2022.0,9.05,10.22,82.46,76677.37,57810.0,-24.61,1.16,32.25,98.36,2.0
Mechanical Engineer,Retail,UK,2020.0,11.61,12.03,12.21,55656.58,50237.86,-9.74,16.32,24.69,57.74,5.0
Marketing Specialist,Retail,Japan,2022.0,57.7,66.47,2.52,117020.98,128744.95,10.02,2.72,59.88,74.94,4.0
Teacher,Retail,Australia,2021.0,51.14,41.7,21.31,39451.63,34527.77,-12.48,1.94,87.01,75.0,3.0
Data Analyst,Retail,USA,2025.0,35.07,39.04,11.54,37675.53,39409.57,4.6,-0.77,78.34,14.14,3.0
Financial Analyst,Retail,Australia,2021.0,23.68,22.22,73.7,109092.78,116790.98,7.06,6.31,19.71,9.43,2.0
Mechanical Engineer,Retail,UK,2023.0,60.16,55.71,65.86,95446.14,84427.61,-11.54,13.63,33.57,88.22,5.0
Truck Driver,Retail,Canada,2026.0,65.97,73.61,44.99,42368.84,38348.63,-9.49,0.31,80.36,70.05,4.0
Data Analyst,Retail,USA,2025.0,29.69,31.38,28.7,47144.79,44562.16,-5.48,24.33,31.17,13.76,1.0
Software Engineer,Retail,Germany,2024.0,69.47,58.02,49.31,92564.95,86770.52,-6.26,13.16,16.24,31.38,1.0
Teacher,Retail,Brazil,2026.0,58.27,64.93,59.33,60158.32,60596.31,0.73,5.91,24.4,82.65,3.0
Accountant,Retail,India,2021.0,13.73,15.75,53.55,98492.91,114028.23,15.77,8.4,23.1,61.4,5.0
HR Manager,Retail,Japan,2026.0,74.33,82.24,54.04,141307.9,156847.53,11.0,7.92,85.68,91.92,3.0
Software Engineer,Retail,Australia,2020.0,46.54,45.69,65.14,69140.77,57588.64,-16.71,22.93,60.28,14.71,1.0
HR Manager,Retail,Germany,2022.0,16.27,17.02,34.22,38498.81,40645.0,5.57,-7.47,12.54,59.22,3.0
Data Analyst,Retail,India,2023.0,66.98,74.89,34.56,46584.92,35770.68,-23.21,-2.58,97.46,98.99,5.0
Financial Analyst,Retail,India,2021.0,20.75,21.91,4.26,75492.23,70893.06,-6.09,14.15,93.82,95.58,2.0
Software Engineer,Retail,Canada,2024.0,16.6,15.43,29.21,125718.22,130494.56,3.8,-6.52,14.62,54.95,4.0
Financial Analyst,Retail,Germany,2022.0,44.07,48.75,89.2,70473.99,85671.52,21.56,9.06,39.58,98.55,3.0
Accountant,Retail,Singapore,2026.0,32.12,28.57,96.96,126309.19,144531.27,14.43,14.56,99.22,59.32,5.0
Truck Driver,Retail,India,2023.0,70.47,57.36,96.1,97511.02,103904.99,6.56,5.94,93.64,22.03,3.0
Marketing Specialist,Retail,Singapore,2023.0,55.57,60.01,49.45,101482.2,96765.3,-4.65,13.6,57.09,0.85,3.0
Marketing Specialist,Retail,Japan,2021.0,64.42,70.25,95.79,78897.61,71830.71,-8.96,11.66,72.74,1.41,2.0
HR Manager,Retail,Brazil,2025.0,75.51,87.24,41.49,30716.98,31740.23,3.33,7.53,25.73,91.62,2.0
Marketing Specialist,Retail,Australia,2021.0,19.16,21.47,75.91,42510.34,46949.66,10.44,21.03,74.2,47.44,5.0
Truck Driver,Retail,UK,2023.0,88.53,82.68,78.55,105100.04,115967.13,10.34,-0.29,63.56,0.86,4.0
Accountant,Retail,India,2020.0,73.27,76.98,98.56,33719.11,31262.32,-7.29,19.64,65.02,30.95,3.0
Accountant,Retail,UK,2020.0,35.48,29.46,80.77,64765.91,66921.9,3.33,15.69,41.83,59.42,4.0
Customer Support Rep,Retail,UK,2020.0,90.01,82.66,79.47,48938.02,48069.33,-1.78,-8.02,31.07,90.3,5.0
Software Engineer,Retail,UK,2024.0,5.0,4.75,6.29,34710.19,36987.44,6.56,7.73,46.84,83.68,3.0
Marketing Specialist,Retail,Brazil,2020.0,12.46,11.45,94.03,145033.61,137460.69,-5.22,15.94,22.93,59.55,2.0
Customer Support Rep,Retail,Brazil,2024.0,41.58,48.54,3.95,108733.88,94701.91,-12.9,20.42,52.13,85.49,5.0
Financial Analyst,Retail,Australia,2024.0,50.84,44.25,37.74,62306.74,68604.88,10.11,8.76,67.0,54.25,1.0
Teacher,Retail,India,2024.0,29.4,24.45,94.57,136386.06,138362.37,1.45,-3.12,96.44,74.71,3.0
HR Manager,Retail,Canada,2022.0,73.48,88.14,51.16,128702.98,131742.15,2.36,4.36,10.31,30.8,2.0
Accountant,Retail,USA,2023.0,25.83,23.75,10.1,83574.01,89124.21,6.64,6.72,76.52,72.31,2.0
Teacher,Retail,Brazil,2025.0,48.36,50.44,61.83,90023.68,97322.62,8.11,4.88,58.05,61.73,5.0
Mechanical Engineer,Retail,India,2022.0,30.35,36.13,96.57,129319.6,125038.57,-3.31,-10.16,49.58,38.7,4.0
Truck Driver,Retail,Canada,2023.0,28.14,28.53,7.28,126230.24,113090.32,-10.41,18.52,68.24,23.3,2.0
Software Engineer,Retail,Brazil,2023.0,12.85,15.31,14.57,108317.85,107941.75,-0.35,3.18,37.83,38.2,2.0
Truck Driver,Retail,Singapore,2022.0,74.82,75.34,25.06,120762.14,125008.36,3.52,13.04,66.62,19.3,2.0
Accountant,Retail,Singapore,2022.0,63.35,62.05,37.13,128776.07,153552.01,19.24,9.47,17.52,92.96,5.0
Financial Analyst,Retail,Japan,2024.0,46.41,49.11,17.82,61732.16,59536.08,-3.56,-0.71,54.32,83.36,3.0
Accountant,Retail,Brazil,2024.0,41.84,47.95,55.18,59573.42,63556.56,6.69,-2.7,11.15,91.42,2.0
Mechanical Engineer,Retail,Canada,2022.0,18.09,14.83,2.85,47664.72,47307.71,-0.75,25.92,77.7,19.17,1.0
HR Manager,Retail,India,2026.0,69.92,74.03,68.9,103013.02,96809.79,-6.02,1.23,53.71,9.62,4.0
Teacher,Retail,USA,2022.0,30.1,24.42,99.36,67367.18,66500.6,-1.29,15.42,69.68,24.11,1.0
Financial Analyst,Retail,Brazil,2023.0,44.76,49.38,66.78,91777.73,85506.69,-6.83,11.55,69.08,11.4,3.0
Software Engineer,Retail,India,2025.0,18.28,16.47,82.95,75677.33,84750.36,11.99,3.28,17.9,59.46,2.0
Marketing Specialist,Retail,India,2024.0,40.86,37.58,31.2,123454.55,105129.86,-14.84,16.31,48.45,96.97,2.0
Accountant,Retail,Australia,2026.0,71.68,70.64,94.31,128754.59,132546.77,2.95,11.46,87.19,89.18,2.0
Marketing Specialist,Retail,India,2025.0,36.13,29.36,46.27,116888.49,112790.74,-3.51,-13.7,29.75,77.28,2.0
Accountant,Retail,Brazil,2023.0,14.24,15.41,37.89,34991.53,34848.58,-0.41,16.76,63.94,73.2,1.0
Mechanical Engineer,Retail,Singapore,2026.0,71.36,67.88,90.23,34431.04,33700.06,-2.12,-4.36,63.46,3.24,1.0
HR Manager,Retail,UK,2021.0,76.42,91.07,66.15,143377.58,116333.48,-18.86,9.06,38.36,55.89,3.0
Marketing Specialist,Retail,Brazil,2020.0,66.51,66.67,37.84,135378.57,148539.89,9.72,1.43,55.38,20.8,2.0
HR Manager,Retail,Japan,2022.0,42.06,47.42,91.54,116712.7,137767.71,18.04,-12.74,72.07,87.49,1.0
Mechanical Engineer,Retail,Brazil,2026.0,37.32,42.58,13.51,140100.5,128167.4,-8.52,23.03,59.18,15.05,1.0
Marketing Specialist,Retail,Germany,2021.0,38.66,32.27,99.41,49875.78,46492.38,-6.78,0.0,40.37,28.93,4.0
Accountant,Retail,UK,2020.0,17.27,17.68,24.48,47807.37,44269.78,-7.4,-3.13,55.37,38.59,2.0
Marketing Specialist,Retail,Canada,2024.0,37.96,35.29,82.26,129374.12,130624.58,0.97,14.92,63.23,89.63,3.0
Marketing Specialist,Retail,USA,2021.0,74.45,71.1,14.98,120956.46,97003.1,-19.8,16.85,42.04,15.08,4.0
Customer Support Rep,Retail,Japan,2026.0,53.39,53.18,26.46,91380.81,93961.59,2.82,6.85,97.35,42.67,2.0
Truck Driver,Retail,Canada,2023.0,89.15,104.14,1.35,138038.29,125689.8,-8.95,-9.51,41.4,75.9,4.0
Financial Analyst,Retail,Brazil,2024.0,14.9,15.63,59.14,34977.27,26783.04,-23.43,-9.41,59.2,73.78,4.0
Marketing Specialist,Retail,Brazil,2026.0,38.15,43.7,54.92,109989.97,104647.36,-4.86,-2.41,55.94,88.11,5.0
Teacher,Retail,USA,2022.0,59.26,58.67,61.18,36476.6,35422.93,-2.89,9.4,70.31,79.8,1.0
Mechanical Engineer,Retail,Germany,2025.0,16.1,19.24,76.17,30444.58,32543.21,6.89,-6.2,45.87,83.18,3.0
Marketing Specialist,Retail,Japan,2026.0,73.69,87.47,58.16,42401.84,50452.06,18.99,19.26,81.03,4.82,5.0
Truck Driver,Retail,Singapore,2025.0,39.01,43.09,1.23,146223.33,186547.72,27.58,11.81,17.57,36.52,4.0
Data Analyst,Retail,Japan,2023.0,49.48,56.85,57.79,79218.7,70607.66,-10.87,-4.61,42.06,23.06,3.0
Mechanical Engineer,Retail,UK,2023.0,68.82,79.41,16.45,67137.25,68962.44,2.72,3.65,28.43,16.65,1.0
Mechanical Engineer,Retail,Germany,2024.0,48.56,52.36,40.45,117777.81,112384.7,-4.58,14.67,48.9,94.76,1.0
Mechanical Engineer,Retail,Singapore,2025.0,24.99,20.95,9.71,143493.29,157648.45,9.86,9.06,15.26,11.95,5.0
Financial Analyst,Retail,USA,2023.0,53.34,49.76,79.27,86995.17,79140.86,-9.03,-13.13,18.21,86.61,4.0
Teacher,Retail,UK,2020.0,77.06,76.37,22.13,109758.74,91926.98,-16.25,1.88,13.46,88.97,4.0
Mechanical Engineer,Retail,UK,2023.0,36.3,37.13,60.52,99378.35,110190.45,10.88,-16.02,72.92,59.24,1.0
Software Engineer,Retail,UK,2024.0,33.33,37.77,32.86,67269.4,68931.38,2.47,35.03,15.16,8.78,5.0
Teacher,Retail,Japan,2026.0,38.59,34.62,19.59,109008.84,105564.4,-3.16,15.88,59.56,70.67,1.0
Accountant,Retail,Canada,2023.0,52.68,43.61,75.99,61519.15,56654.2,-7.91,8.61,99.81,8.03,5.0
Mechanical Engineer,Retail,USA,2021.0,15.47,18.29,8.52,122542.19,113835.9,-7.1,5.63,10.15,93.56,3.0
