JOB TITLE,INDUSTRY,JOB STATUS,AI IMPACT LEVEL,MEDIAN SALARY (USD),REQUIRED EDUCATION,EXPERIENCE REQUIRED (YEARS),JOB OPENINGS (2024),PROJECTED OPENINGS (2030),REMOTE WORK RATIO (%),AUTOMATION RISK (%),LOCATION,GENDER DIVERSITY (%),OPENING GROWTH (%)
Recruitment consultant,IT,Decreasing,Moderate,34438.13,Associate Degree,1.0,5248.0,4013.0,8.77,75.41,China,74.41,-23.53
Theatre stage manager,IT,Decreasing,Low,49654.29,Bachelor's Degree,0.0,4725.0,5958.0,77.67,46.64,India,58.4,26.1
Facilities manager,IT,Increasing,High,85650.02,Master's Degree,1.0,9995.0,4148.0,15.97,56.88,Brazil,27.35,-58.5
Air traffic controller,IT,Decreasing,High,37967.65,Bachelor's Degree,3.0,2804.0,2151.0,74.56,31.89,China,63.65,-23.29
"Designer, interior/spatial",IT,Increasing,Moderate,84893.88,Master's Degree,6.0,118.0,1538.0,24.71,30.59,USA,53.93,1203.39
"Designer, television/film set",IT,Decreasing,High,113286.59,Bachelor's Degree,3.0,6057.0,8325.0,6.53,32.36,Canada,35.7,37.44
Civil Service fast streamer,IT,Increasing,Low,39613.3,Associate Degree,9.0,147.0,5434.0,83.63,72.45,USA,43.98,3596.6
Surgeon,IT,Decreasing,Moderate,83718.89,Associate Degree,5.0,7101.0,2451.0,83.17,78.6,Canada,35.69,-65.48
Quantity surveyor,IT,Decreasing,High,102244.0,Master's Degree,14.0,5553.0,1258.0,69.33,97.47,Australia,70.11,-77.35
Scientific laboratory technician,IT,Decreasing,Low,127522.25,High School,8.0,5634.0,4282.0,73.54,59.66,Australia,68.09,-24.0
Research scientist (physical sciences),IT,Increasing,Low,67739.89,Bachelor's Degree,4.0,9171.0,8760.0,51.27,24.01,Brazil,42.22,-4.48
Commercial horticulturist,IT,Increasing,Moderate,95240.03,Bachelor's Degree,2.0,3378.0,6443.0,7.47,47.13,Canada,24.61,90.73
Market researcher,IT,Decreasing,Moderate,31982.74,Bachelor's Degree,6.0,209.0,8306.0,97.0,87.45,Canada,25.9,3874.16
Health service manager,IT,Increasing,Moderate,100244.08,PhD,0.0,6328.0,4938.0,97.38,1.84,Brazil,40.0,-21.97
Catering manager,IT,Increasing,Low,77924.76,Master's Degree,15.0,2306.0,9464.0,13.65,86.66,Canada,57.14,310.41
Physiological scientist,IT,Decreasing,Moderate,33514.6,High School,10.0,7776.0,4299.0,99.93,37.69,Brazil,36.91,-44.71
Insurance risk surveyor,IT,Increasing,Low,108029.33,High School,9.0,7310.0,7396.0,88.96,91.4,USA,51.91,1.18
Consulting civil engineer,IT,Decreasing,Low,67993.95,High School,12.0,4111.0,442.0,1.89,66.71,Germany,24.11,-89.25
"Solicitor, Scotland",IT,Increasing,High,117982.52,Associate Degree,8.0,8394.0,8632.0,26.17,72.76,Australia,75.27,2.84
"Administrator, sports",IT,Decreasing,Low,144145.02,PhD,3.0,5865.0,4332.0,1.4,80.9,China,29.27,-26.14
Fish farm manager,IT,Decreasing,Moderate,83283.63,Bachelor's Degree,13.0,9290.0,5641.0,59.31,66.59,UK,43.78,-39.28
Stage manager,IT,Decreasing,High,31650.21,Associate Degree,4.0,3015.0,8526.0,25.92,87.7,Germany,21.29,182.79
Passenger transport manager,IT,Increasing,Moderate,53333.03,High School,15.0,1164.0,3496.0,16.18,51.9,USA,24.66,200.34
Police officer,IT,Increasing,Low,65753.05,Associate Degree,4.0,5822.0,1813.0,32.42,55.34,India,70.4,-68.86
"Nurse, adult",IT,Increasing,Moderate,71002.28,Bachelor's Degree,12.0,513.0,293.0,22.96,42.06,Australia,63.13,-42.88
"Sales professional, IT",IT,Decreasing,High,77950.47,High School,8.0,8896.0,4723.0,31.81,27.12,China,58.28,-46.91
Furniture designer,IT,Decreasing,Moderate,110702.54,Bachelor's Degree,2.0,6641.0,8113.0,65.8,32.69,USA,38.21,22.17
Systems analyst,IT,Increasing,Moderate,120030.23,Master's Degree,2.0,993.0,198.0,52.14,18.92,UK,59.57,-80.06
Medical physicist,IT,Decreasing,Low,45432.29,PhD,14.0,6204.0,3001.0,36.07,32.81,UK,27.93,-51.63
"Scientist, research (medical)",IT,Increasing,High,55610.68,Master's Degree,16.0,7126.0,5890.0,45.71,89.71,India,51.58,-17.34
Conference centre manager,IT,Increasing,Moderate,74428.93,Bachelor's Degree,18.0,6392.0,7088.0,92.16,4.66,USA,79.84,10.89
Set designer,IT,Increasing,Moderate,102012.28,Bachelor's Degree,8.0,1710.0,6461.0,99.69,78.06,Australia,64.98,277.84
"Pilot, airline",IT,Increasing,Low,104082.45,Bachelor's Degree,15.0,9398.0,391.0,33.65,0.56,India,59.98,-95.84
Product designer,IT,Increasing,Moderate,66807.54,High School,12.0,9226.0,8874.0,33.26,15.68,Germany,52.49,-3.82
Mechanical engineer,IT,Decreasing,Low,70275.23,Bachelor's Degree,15.0,949.0,6902.0,25.51,41.2,China,41.49,627.29
"Surveyor, commercial/residential",IT,Increasing,Low,130533.12,PhD,12.0,3893.0,4378.0,42.21,47.76,Brazil,57.87,12.46
Hospital doctor,IT,Decreasing,Moderate,132556.53,Associate Degree,2.0,8163.0,1413.0,59.13,77.73,Germany,58.74,-82.69
Chemical engineer,IT,Decreasing,Moderate,122330.14,Associate Degree,11.0,6540.0,1188.0,88.96,77.44,Germany,63.21,-81.83
"Engineer, civil (contracting)",IT,Decreasing,Low,148686.87,Associate Degree,18.0,8458.0,9311.0,23.14,77.53,Canada,39.16,10.09
Associate Professor,IT,Increasing,High,64319.56,Bachelor's Degree,19.0,2852.0,9277.0,63.96,20.63,USA,33.03,225.28
Acupuncturist,IT,Increasing,Moderate,64831.9,Associate Degree,9.0,9672.0,1690.0,16.5,43.83,USA,74.19,-82.53
Fish farm manager,IT,Decreasing,High,79340.16,High School,19.0,1148.0,6500.0,99.84,26.16,China,47.18,466.2
Clothing/textile technologist,IT,Increasing,High,119282.01,Associate Degree,2.0,1512.0,6111.0,63.83,68.29,Australia,75.15,304.17
"Psychotherapist, child",IT,Decreasing,Low,33425.8,Master's Degree,11.0,2612.0,8899.0,70.35,86.19,India,53.52,240.7
"Scientist, audiological",IT,Increasing,Moderate,86847.26,PhD,11.0,3233.0,4595.0,74.48,95.8,India,34.56,42.13
Mental health nurse,IT,Increasing,High,49600.12,High School,2.0,3078.0,5109.0,19.67,6.8,Canada,26.38,65.98
"Pilot, airline",IT,Decreasing,High,66220.38,Associate Degree,5.0,6011.0,3900.0,32.77,59.14,Germany,48.54,-35.12
"Engineer, civil (contracting)",IT,Decreasing,High,33264.35,Bachelor's Degree,12.0,2139.0,5983.0,75.58,10.75,India,71.06,179.71
Interpreter,IT,Increasing,High,93156.73,Associate Degree,1.0,6545.0,4435.0,82.03,78.37,Canada,55.69,-32.24
Secretary/administrator,IT,Decreasing,High,125194.2,Bachelor's Degree,3.0,1561.0,3078.0,80.49,34.45,Brazil,68.71,97.18
Immigration officer,IT,Decreasing,Low,41293.99,Master's Degree,0.0,6451.0,7879.0,99.72,17.27,Germany,63.72,22.14
Industrial buyer,IT,Decreasing,Moderate,63624.07,Associate Degree,7.0,3652.0,5697.0,76.63,54.1,India,21.32,56.0
Manufacturing engineer,IT,Decreasing,Moderate,105854.58,PhD,19.0,5124.0,6028.0,79.46,51.07,Germany,69.0,17.64
"Surveyor, minerals",IT,Decreasing,High,107142.7,Associate Degree,13.0,5681.0,365.0,89.6,8.49,Brazil,57.34,-93.58
"Psychologist, counselling",IT,Decreasing,Low,31795.16,PhD,7.0,7012.0,2212.0,27.21,27.55,India,65.21,-68.45
"Production designer, theatre/television/film",IT,Decreasing,Low,39094.28,Master's Degree,2.0,6058.0,4804.0,26.17,85.89,Germany,71.45,-20.7
"Engineer, automotive",IT,Increasing,Moderate,143384.05,PhD,8.0,6008.0,369.0,94.21,44.73,Brazil,35.39,-93.86
"Engineer, aeronautical",IT,Decreasing,Low,140445.28,Associate Degree,11.0,1873.0,8190.0,75.08,55.31,Brazil,70.13,337.27
Clinical molecular geneticist,IT,Increasing,High,109207.24,PhD,14.0,429.0,5832.0,5.89,76.14,Germany,60.45,1259.44
Risk manager,IT,Decreasing,Low,61536.56,Bachelor's Degree,11.0,5371.0,7263.0,37.95,77.11,UK,51.61,35.23
Horticultural consultant,IT,Decreasing,Moderate,129096.82,Master's Degree,7.0,4664.0,8184.0,71.76,1.22,UK,61.7,75.47
Biomedical scientist,IT,Decreasing,Low,101068.66,Associate Degree,11.0,2699.0,101.0,43.25,59.17,India,44.38,-96.26
Psychiatrist,IT,Decreasing,Low,49693.9,Master's Degree,16.0,8784.0,8055.0,86.47,4.36,India,54.38,-8.3
Electrical engineer,IT,Increasing,High,42871.82,Associate Degree,11.0,5642.0,3675.0,88.09,3.17,Germany,38.84,-34.86
Make,IT,Decreasing,High,127718.91,Bachelor's Degree,11.0,8114.0,9653.0,20.62,1.44,Brazil,42.08,18.97
Press photographer,IT,Increasing,Low,118795.31,Master's Degree,17.0,3522.0,981.0,13.53,19.92,China,29.84,-72.15
Technical brewer,IT,Decreasing,Low,43450.56,Associate Degree,17.0,2978.0,7509.0,63.71,63.95,China,29.18,152.15
Regulatory affairs officer,IT,Increasing,Low,49484.47,Bachelor's Degree,6.0,6353.0,9164.0,75.04,93.01,UK,50.12,44.25
IT consultant,IT,Decreasing,Low,80353.66,High School,13.0,1583.0,7793.0,95.07,75.75,Brazil,59.17,392.29
Hydrologist,IT,Increasing,Moderate,132423.63,Bachelor's Degree,20.0,9709.0,4802.0,50.29,20.76,Canada,31.89,-50.54
"Scientist, water quality",IT,Decreasing,High,40199.52,Master's Degree,16.0,1441.0,4036.0,26.12,32.83,Australia,76.46,180.08
Chief Operating Officer,IT,Increasing,High,84084.04,PhD,6.0,3704.0,9722.0,1.33,14.26,Brazil,48.27,162.47
Logistics and distribution manager,IT,Decreasing,Moderate,58849.83,PhD,19.0,9058.0,7808.0,16.27,92.63,India,43.82,-13.8
"Social research officer, government",IT,Decreasing,High,56239.97,Master's Degree,20.0,1256.0,5964.0,16.7,68.39,USA,20.95,374.84
Product manager,IT,Decreasing,Moderate,82388.0,Associate Degree,3.0,841.0,8935.0,6.04,2.19,China,69.45,962.43
Medical physicist,IT,Decreasing,Low,131677.27,Bachelor's Degree,16.0,3029.0,483.0,63.36,51.11,China,34.01,-84.05
"Doctor, hospital",IT,Increasing,High,122616.7,High School,8.0,5375.0,3210.0,93.11,43.09,Canada,37.9,-40.28
Retail buyer,IT,Increasing,Moderate,113983.36,PhD,10.0,9443.0,2759.0,73.22,37.91,Canada,57.34,-70.78
Warden/ranger,IT,Decreasing,High,53358.63,Associate Degree,4.0,3550.0,3817.0,59.52,48.48,Germany,63.85,7.52
"Administrator, education",IT,Increasing,Moderate,139198.02,Master's Degree,1.0,664.0,7994.0,79.15,17.15,Germany,57.87,1103.92
Chartered accountant,IT,Increasing,High,58040.0,Master's Degree,19.0,5612.0,5429.0,69.06,23.68,Brazil,79.86,-3.26
Fish farm manager,IT,Increasing,High,43494.08,Bachelor's Degree,14.0,3744.0,3941.0,88.32,74.77,UK,58.83,5.26
Academic librarian,IT,Decreasing,High,122466.19,Associate Degree,16.0,8706.0,5649.0,28.33,13.92,China,59.95,-35.11
"Designer, textile",IT,Decreasing,Moderate,35450.56,Bachelor's Degree,6.0,4216.0,459.0,23.32,66.29,India,67.51,-89.11
Database administrator,IT,Decreasing,Low,134272.8,Bachelor's Degree,20.0,3544.0,1907.0,58.35,41.97,UK,41.65,-46.19
Tree surgeon,IT,Increasing,Low,117366.63,PhD,18.0,5633.0,1554.0,79.12,60.72,Canada,58.07,-72.41
Financial trader,IT,Decreasing,Low,33617.97,Associate Degree,17.0,8189.0,316.0,57.22,42.01,India,37.98,-96.14
Radio producer,IT,Increasing,High,139453.27,PhD,0.0,426.0,8985.0,45.63,60.82,Germany,44.74,2009.15
Chief Marketing Officer,IT,Decreasing,Low,85920.43,Bachelor's Degree,11.0,132.0,3673.0,16.77,85.31,USA,33.59,2682.58
Print production planner,IT,Decreasing,Moderate,72331.49,Master's Degree,18.0,3691.0,8515.0,66.29,96.28,Germany,76.97,130.7
Tax adviser,IT,Increasing,High,111860.08,Master's Degree,9.0,7671.0,6427.0,46.71,92.97,Australia,55.08,-16.22
Company secretary,IT,Decreasing,Moderate,148122.04,PhD,1.0,3467.0,8575.0,79.8,27.1,China,59.1,147.33
"Education officer, environmental",IT,Increasing,High,39168.77,PhD,20.0,6571.0,8184.0,27.49,48.48,Canada,27.42,24.55
Geophysical data processor,IT,Increasing,High,101888.19,Bachelor's Degree,19.0,226.0,8568.0,8.57,29.27,Germany,51.55,3691.15
"Pilot, airline",IT,Increasing,Moderate,109844.18,Bachelor's Degree,0.0,9789.0,167.0,59.69,36.89,USA,58.08,-98.29
Theatre director,IT,Decreasing,Moderate,83092.38,High School,10.0,4598.0,2363.0,15.23,46.35,Canada,31.79,-48.61
Tour manager,IT,Increasing,Low,86761.47,Bachelor's Degree,20.0,7501.0,2428.0,23.94,70.38,Germany,31.74,-67.63
Air traffic controller,IT,Increasing,Moderate,110736.92,High School,13.0,5134.0,3285.0,45.79,89.8,China,26.29,-36.01
Operational researcher,IT,Increasing,Moderate,98536.3,PhD,9.0,5383.0,2445.0,44.11,52.51,China,63.21,-54.58
Gaffer,IT,Increasing,Moderate,75135.68,High School,11.0,5163.0,2751.0,9.75,73.55,Brazil,29.4,-46.72
"Scientist, clinical (histocompatibility and immunogenetics)",IT,Increasing,Low,88351.16,Master's Degree,20.0,4937.0,9615.0,67.07,83.32,Australia,56.01,94.75
Bonds trader,IT,Decreasing,Moderate,43499.9,Associate Degree,13.0,8698.0,6355.0,66.78,7.33,USA,75.14,-26.94
Diplomatic Services operational officer,IT,Decreasing,Moderate,43592.16,High School,4.0,5268.0,5660.0,0.05,54.8,China,74.54,7.44
Nutritional therapist,IT,Decreasing,High,55625.76,Bachelor's Degree,10.0,7667.0,1635.0,99.32,99.61,USA,46.49,-78.67
"Scientist, forensic",IT,Increasing,Moderate,34315.42,PhD,19.0,1868.0,7854.0,97.97,17.9,USA,50.91,320.45
Administrator,IT,Decreasing,Low,91286.93,Bachelor's Degree,7.0,4313.0,4777.0,63.5,13.9,Germany,50.22,10.76
Environmental manager,IT,Increasing,Low,145876.4,High School,8.0,6456.0,4488.0,2.95,55.92,USA,33.8,-30.48
Research scientist (life sciences),IT,Increasing,Low,99449.14,Bachelor's Degree,4.0,6080.0,2848.0,54.49,6.73,Brazil,22.55,-53.16
Regulatory affairs officer,IT,Increasing,Low,52769.38,Master's Degree,15.0,3264.0,4945.0,60.74,29.23,Brazil,28.9,51.5
Armed forces logistics/support/administrative officer,IT,Increasing,Low,32922.45,PhD,10.0,3347.0,4353.0,83.86,99.6,Australia,76.08,30.06
Production engineer,IT,Decreasing,Moderate,78275.25,High School,3.0,7680.0,2841.0,5.47,80.28,Australia,24.01,-63.01
Software engineer,IT,Decreasing,High,100308.86,Bachelor's Degree,6.0,2295.0,3177.0,49.87,48.35,Germany,47.99,38.43
Public house manager,IT,Increasing,Low,42606.43,Associate Degree,20.0,8320.0,5092.0,18.49,27.85,Germany,52.1,-38.8
Purchasing manager,IT,Increasing,Low,91543.12,High School,15.0,4940.0,6578.0,83.09,4.02,India,46.73,33.16
Camera operator,IT,Increasing,Low,83237.01,Master's Degree,15.0,3580.0,5248.0,84.13,11.84,UK,77.99,46.59
Musician,IT,Increasing,Low,138588.65,High School,9.0,204.0,364.0,76.41,61.1,Brazil,43.45,78.43
"Psychologist, forensic",IT,Decreasing,High,49453.27,High School,13.0,7295.0,8253.0,62.04,91.45,Brazil,52.45,13.13
Lexicographer,IT,Decreasing,Moderate,49028.94,Associate Degree,10.0,2412.0,705.0,14.17,99.1,China,76.99,-70.77
Biomedical scientist,IT,Decreasing,High,72421.23,PhD,12.0,3316.0,7220.0,42.92,9.98,Canada,23.26,117.73
"Accountant, chartered management",IT,Increasing,Low,106033.22,Associate Degree,12.0,8689.0,999.0,63.47,13.99,India,51.04,-88.5
Occupational hygienist,IT,Decreasing,Low,36655.34,PhD,10.0,3956.0,112.0,6.44,92.19,Australia,51.52,-97.17
Television/film/video producer,IT,Decreasing,Low,35090.05,Master's Degree,17.0,8433.0,788.0,83.15,48.86,Germany,78.39,-90.66
"Designer, graphic",IT,Increasing,Moderate,61243.28,High School,6.0,8349.0,3545.0,48.36,90.91,UK,62.41,-57.54
Holiday representative,IT,Increasing,High,68344.46,Associate Degree,11.0,7807.0,7195.0,8.31,32.68,Australia,46.06,-7.84
"Engineer, energy",IT,Increasing,Moderate,95203.31,High School,11.0,842.0,2238.0,81.44,9.55,India,62.68,165.8
Clinical molecular geneticist,IT,Increasing,High,30250.01,High School,10.0,258.0,9235.0,96.92,71.63,UK,75.59,3479.46
Secretary/administrator,IT,Decreasing,Low,35143.32,Master's Degree,16.0,4424.0,4151.0,12.31,91.49,Canada,32.89,-6.17
Print production planner,IT,Increasing,High,37491.73,Associate Degree,3.0,8290.0,1777.0,96.37,88.24,USA,22.2,-78.56
Local government officer,IT,Increasing,High,59213.22,Master's Degree,8.0,3404.0,7557.0,20.64,98.63,India,32.18,122.0
Telecommunications researcher,IT,Increasing,Moderate,127546.64,Master's Degree,10.0,8983.0,1804.0,22.36,33.15,China,21.27,-79.92
"Buyer, retail",IT,Decreasing,High,44634.31,PhD,8.0,7442.0,3440.0,74.69,13.5,Brazil,46.0,-53.78
Manufacturing engineer,IT,Decreasing,High,58227.62,PhD,8.0,6549.0,2793.0,8.76,5.52,Canada,42.31,-57.35
Health service manager,IT,Increasing,High,145216.59,Bachelor's Degree,3.0,9642.0,6596.0,71.22,43.15,India,71.06,-31.59
"Administrator, arts",IT,Decreasing,Moderate,48912.56,High School,18.0,7896.0,7730.0,41.33,53.27,China,79.68,-2.1
Environmental consultant,IT,Decreasing,Moderate,125916.58,Bachelor's Degree,13.0,8936.0,4348.0,48.47,32.47,China,48.66,-51.34
Commissioning editor,IT,Decreasing,High,82541.97,Master's Degree,4.0,2055.0,2987.0,61.85,44.77,India,23.62,45.35
Higher education lecturer,IT,Decreasing,Moderate,62829.54,Associate Degree,16.0,1490.0,9207.0,9.83,77.97,Germany,29.82,517.92
Commercial/residential surveyor,IT,Decreasing,Moderate,129922.73,Associate Degree,8.0,7480.0,6680.0,0.35,57.3,Brazil,20.49,-10.7
Financial controller,IT,Decreasing,Low,79243.51,Master's Degree,14.0,842.0,8475.0,33.35,88.44,UK,44.16,906.53
Manufacturing systems engineer,IT,Increasing,Moderate,34305.57,High School,3.0,3023.0,7948.0,32.32,93.17,UK,47.45,162.92
Banker,IT,Decreasing,High,66236.92,Bachelor's Degree,13.0,6034.0,410.0,1.45,60.5,Australia,25.48,-93.21
Field trials officer,IT,Increasing,Low,75755.02,PhD,7.0,3126.0,5608.0,2.71,37.16,Australia,32.5,79.4
Land,IT,Increasing,Low,79709.12,Associate Degree,13.0,8368.0,5923.0,48.35,10.31,USA,47.59,-29.22
Psychotherapist,IT,Increasing,High,40794.71,High School,6.0,3960.0,6039.0,17.66,73.27,Germany,44.26,52.5
"Editor, film/video",IT,Decreasing,High,124210.37,Master's Degree,12.0,6994.0,130.0,78.78,21.93,Australia,65.52,-98.14
Colour technologist,IT,Increasing,High,108704.48,Associate Degree,8.0,8435.0,8318.0,45.04,82.86,Australia,30.16,-1.39
Dancer,IT,Increasing,High,115903.32,Master's Degree,11.0,1218.0,8563.0,74.64,94.32,Canada,33.42,603.04
Prison officer,IT,Increasing,High,110069.47,Associate Degree,12.0,8692.0,6714.0,98.06,36.47,UK,61.97,-22.76
Charity officer,IT,Decreasing,Moderate,37459.76,High School,0.0,5518.0,4183.0,43.81,37.2,UK,27.53,-24.19
Speech and language therapist,IT,Decreasing,Low,38029.39,Master's Degree,3.0,9622.0,6574.0,50.07,84.01,UK,70.1,-31.68
"Scientist, clinical (histocompatibility and immunogenetics)",IT,Decreasing,Low,145923.3,High School,12.0,8689.0,9518.0,64.56,57.76,Canada,49.93,9.54
Translator,IT,Increasing,Moderate,130843.41,Master's Degree,11.0,3556.0,3802.0,1.4,28.84,Canada,46.16,6.92
Chief Executive Officer,IT,Increasing,Low,123959.97,Bachelor's Degree,13.0,1817.0,8317.0,1.77,13.84,UK,22.98,357.73
"Engineer, site",IT,Increasing,Moderate,114019.49,Associate Degree,9.0,4626.0,4079.0,53.47,28.92,Germany,65.98,-11.82
Tourist information centre manager,IT,Decreasing,Moderate,93183.81,PhD,20.0,2650.0,5611.0,86.71,0.11,India,75.43,111.74
Volunteer coordinator,IT,Increasing,High,99911.06,PhD,0.0,768.0,7169.0,52.1,88.27,Germany,41.1,833.46
Outdoor activities/education manager,IT,Increasing,Low,119139.35,Associate Degree,9.0,4322.0,6422.0,87.67,78.85,China,69.33,48.59
"Chemist, analytical",IT,Decreasing,Low,33815.94,High School,10.0,5174.0,8784.0,57.37,12.36,Australia,70.62,69.77
Garment/textile technologist,IT,Decreasing,Moderate,102023.54,PhD,11.0,8915.0,8887.0,63.6,34.73,Canada,28.57,-0.31
Stage manager,IT,Decreasing,Moderate,102439.74,Associate Degree,5.0,3188.0,5674.0,7.46,77.86,Germany,27.16,77.98
"Surveyor, insurance",IT,Increasing,High,146811.6,Bachelor's Degree,9.0,281.0,1772.0,6.69,1.37,Brazil,40.91,530.6
Public house manager,IT,Decreasing,High,44764.43,Master's Degree,10.0,8166.0,4959.0,16.57,91.44,China,55.7,-39.27
Structural engineer,IT,Decreasing,Moderate,49705.78,Associate Degree,10.0,6099.0,9387.0,54.66,5.26,Canada,27.33,53.91
Educational psychologist,IT,Decreasing,Low,123938.52,Bachelor's Degree,9.0,6935.0,5058.0,33.23,8.75,China,76.95,-27.07
"Lecturer, further education",IT,Increasing,Moderate,33756.72,Bachelor's Degree,0.0,952.0,1827.0,25.84,22.75,China,77.36,91.91
Database administrator,IT,Decreasing,Low,55224.58,PhD,10.0,5340.0,8331.0,39.81,18.1,Brazil,59.59,56.01
"Scientist, clinical (histocompatibility and immunogenetics)",IT,Decreasing,Moderate,104762.28,PhD,13.0,7015.0,6314.0,50.09,69.3,China,27.6,-9.99
Insurance account manager,IT,Increasing,High,117767.19,Master's Degree,8.0,6202.0,1770.0,54.74,41.86,Brazil,25.8,-71.46
"Scientist, clinical (histocompatibility and immunogenetics)",IT,Increasing,Moderate,100657.9,PhD,14.0,4771.0,1214.0,47.52,8.62,USA,70.99,-74.55
Sports administrator,IT,Increasing,High,33196.37,Associate Degree,11.0,1297.0,3416.0,30.21,84.12,USA,60.92,163.38
Clinical embryologist,IT,Decreasing,Moderate,147222.58,Bachelor's Degree,16.0,506.0,4622.0,13.79,57.35,UK,25.35,813.44
Energy manager,IT,Decreasing,Moderate,140647.85,Master's Degree,12.0,4216.0,7456.0,48.8,4.15,India,70.66,76.85
Health visitor,IT,Decreasing,Moderate,38362.17,Bachelor's Degree,19.0,687.0,5810.0,85.01,38.66,USA,51.31,745.71
Ambulance person,IT,Decreasing,Low,103658.96,High School,19.0,5314.0,8169.0,15.06,90.21,China,64.9,53.73
Landscape architect,IT,Increasing,Moderate,43479.86,Associate Degree,12.0,4823.0,9422.0,15.51,14.12,UK,71.67,95.36
Training and development officer,IT,Increasing,High,38203.64,Master's Degree,0.0,8271.0,7194.0,6.46,64.39,Australia,60.76,-13.02
"Engineer, petroleum",IT,Decreasing,High,91911.22,PhD,5.0,8452.0,8044.0,26.64,18.58,UK,44.88,-4.83
Phytotherapist,IT,Decreasing,Low,146925.01,Master's Degree,4.0,575.0,7222.0,39.95,9.03,Australia,59.97,1156.0
"Administrator, education",IT,Decreasing,High,89412.02,Associate Degree,11.0,285.0,1739.0,31.57,92.97,Canada,41.4,510.18
"Copywriter, advertising",IT,Increasing,Moderate,115819.01,PhD,9.0,2700.0,8152.0,1.26,77.03,UK,32.36,201.93
Charity officer,IT,Increasing,Moderate,117483.38,Associate Degree,8.0,9475.0,5489.0,85.96,85.44,China,57.66,-42.07
"Civil engineer, contracting",IT,Decreasing,High,83358.98,Bachelor's Degree,7.0,6997.0,8702.0,15.44,67.2,Canada,75.31,24.37
Corporate investment banker,IT,Decreasing,Low,43401.81,Bachelor's Degree,1.0,8087.0,2752.0,75.12,30.39,Canada,36.48,-65.97
Medical sales representative,IT,Increasing,High,140692.37,High School,11.0,3133.0,5344.0,85.48,91.5,India,58.14,70.57
"Scientist, product/process development",IT,Increasing,Moderate,68290.87,Associate Degree,8.0,4438.0,6926.0,24.3,52.87,India,32.57,56.06
Estate manager/land agent,IT,Increasing,Low,71954.17,Master's Degree,14.0,9441.0,5551.0,78.7,66.72,Brazil,24.99,-41.2
Legal executive,IT,Increasing,Moderate,128028.92,PhD,0.0,9000.0,2946.0,26.12,90.13,USA,26.24,-67.27
Special educational needs teacher,IT,Decreasing,Low,120746.07,PhD,12.0,7510.0,4568.0,20.08,48.35,Brazil,61.77,-39.17
English as a second language teacher,IT,Increasing,High,81744.21,Master's Degree,14.0,9768.0,7863.0,55.24,32.94,India,79.57,-19.5
Airline pilot,IT,Increasing,Low,79393.12,Master's Degree,17.0,5914.0,5018.0,35.08,55.45,Brazil,28.07,-15.15
"Accountant, chartered",IT,Decreasing,Low,141883.33,Bachelor's Degree,16.0,7872.0,1854.0,9.93,1.0,USA,61.24,-76.45
Actor,IT,Increasing,High,54231.54,PhD,7.0,7750.0,4381.0,1.65,81.96,China,77.61,-43.47
"Engineer, chemical",IT,Decreasing,Moderate,112628.17,Master's Degree,5.0,9585.0,3427.0,71.63,48.24,Germany,35.45,-64.25
"Solicitor, Scotland",IT,Increasing,Moderate,93987.35,Bachelor's Degree,4.0,1728.0,2436.0,8.87,55.71,Australia,21.17,40.97
Amenity horticulturist,IT,Increasing,Low,124105.37,High School,13.0,1570.0,6163.0,67.42,71.85,UK,60.81,292.55
Amenity horticulturist,IT,Decreasing,Low,140754.85,Bachelor's Degree,6.0,2357.0,1056.0,69.16,40.63,UK,58.84,-55.2
IT trainer,IT,Decreasing,High,140431.92,Bachelor's Degree,9.0,3812.0,3599.0,68.14,69.36,Canada,37.42,-5.59
Economist,IT,Decreasing,High,92901.94,Master's Degree,2.0,6995.0,2509.0,56.46,38.64,UK,66.67,-64.13
Legal secretary,IT,Decreasing,Moderate,39917.38,PhD,20.0,8548.0,6625.0,39.7,97.24,India,46.59,-22.5
Radiation protection practitioner,IT,Decreasing,Low,104308.02,High School,12.0,7471.0,9488.0,92.91,25.85,USA,24.04,27.0
"Programmer, multimedia",IT,Decreasing,High,108109.43,Bachelor's Degree,19.0,6343.0,5735.0,93.24,31.82,Germany,41.24,-9.59
Air broker,IT,Increasing,Moderate,114509.53,Master's Degree,4.0,2661.0,9070.0,66.63,9.65,USA,35.1,240.85
Equality and diversity officer,IT,Increasing,High,138703.82,Associate Degree,2.0,4374.0,1847.0,59.0,97.01,USA,28.3,-57.77
Public house manager,IT,Decreasing,Low,73428.25,Bachelor's Degree,5.0,2005.0,4392.0,15.94,49.77,Brazil,50.79,119.05
Advice worker,IT,Increasing,High,135046.35,Associate Degree,12.0,4200.0,3046.0,54.99,57.28,Australia,77.78,-27.48
Fashion designer,IT,Increasing,High,91018.21,PhD,2.0,8369.0,7117.0,28.11,32.4,Canada,76.6,-14.96
Toxicologist,IT,Decreasing,Moderate,82813.14,Master's Degree,2.0,7238.0,8006.0,4.95,1.77,UK,54.32,10.61
Heritage manager,IT,Increasing,Low,134155.87,Master's Degree,4.0,794.0,9399.0,52.78,62.49,India,75.49,1083.75
"Engineer, aeronautical",IT,Decreasing,Moderate,34694.61,High School,14.0,4768.0,5105.0,29.78,40.91,Brazil,79.47,7.07
